id,rectype,recmass,recfalltype,reclat,reclong
6604,Valid,7000,Fell,41.98444,59.685
51559,Valid,6580,Fell,-1.87089,-79.95756
6621,Valid,340,Fell,43,-80
6634,Valid,28,Fell,40.25,-74
6642,Valid,0.8,Fell,28.56667,77.25
6649,Valid,16400,Fell,51.46667,84.76667
6660,Valid,230,Fell,39.7825,-104.93056
6664,Valid,12500,Fell,26.68333,93.86667
6693,Valid,25400,Fell,25.73333,73.61667
6694,Valid,12000,Fell,19,81
6696,Valid,1140,Fell,24.225,76.525
6698,Valid,45000,Fell,22.37778,71.42722
6699,Valid,1800,Fell,14.88333,75.6
7640,Valid,32000,Fell,32.23333,76.46667
47350,Valid,3396,Fell,37.35172,27.32997
7642,Valid,1000,Fell,-33.75,18.56667
7649,Valid,400,Fell,-31.88333,-60.46667
7652,Valid,166000,Fell,-7.5,111.5
7656,Valid,3950,Fell,12.73333,15.05
7657,Valid,10000,Fell,36.95,9.55
7658,Valid,3840,Fell,23.5,90.33333
7659,Valid,1600,Fell,50.75,25.3
7661,Valid,438,Fell,40,29
7706,Valid,128800,Fell,45.5,119.03333
7707,Valid,230,Fell,21.86667,82.45
7708,Valid,5500,Fell,32.91667,120.78333
7718,Valid,3891,Fell,51.2,112.3
7722,Valid,1250,Fell,13.05,3.16667
7723,Valid,1161,Fell,32.33333,-6.3
7725,Valid,642,Fell,-13.66667,33.91667
7728,Valid,5000,Fell,36.4,-86.5
7731,Valid,47700,Fell,42.52,-82.26
7736,Valid,1900,Fell,42.45833,18.44167
7743,Valid,30,Fell,-31.66667,152.83333
7745,Valid,2270,Fell,52.55,-8.03333
7749,Valid,,Fell,43.33333,128.25
7750,Valid,13200,Fell,30.3,76.63333
7752,Valid,577,Fell,-4,39.5
7754,Valid,2117,Fell,33.43333,127.26667
7755,Valid,3230,Fell,-27.2,31.31667
7757,Valid,300,Fell,26.25,82
7758,Valid,188,Fell,-3,151
7760,Valid,10000,Fell,40.78167,-96.47167
7774,Valid,2400,Fell,-17.3,15.83333
7775,Valid,3000,Fell,48.9,11.21667
7776,Valid,3336,Fell,56.03333,13
7777,Valid,840,Fell,28.26667,78.78333
7807,Valid,10000,Fell,34.41667,3.25
45977,Valid,17226,Fell,25.37,-97.37
7819,Valid,5000,Fell,19.96722,-103.05167
7822,Valid,680.5,Fell,39.24667,-104.58817
7823,Valid,107000,Fell,50.18333,12.73333
7824,Valid,54640,Fell,47.83333,37.66667
10019,Valid,1470,Fell,51.75,4
10033,Valid,127,Fell,-29.46667,151.61667
10038,Valid,8000,Fell,30.3,109.5
10039,Valid,127000,Fell,47.86667,7.35
10041,Valid,277,Fell,48.18333,6.46667
10042,Valid,113,Fell,19.03333,81.89167
10043,Valid,107.2,Fell,40.3,44.5
10044,Valid,20000,Fell,1.16667,44.16667
10049,Valid,2250,Fell,52.21667,11.25
10051,Valid,1500,Fell,46.25,-1.1
10055,Valid,500,Fell,2.88333,30.83333
10059,Valid,320000,Fell,43.41667,-94.83333
10074,Valid,89400,Fell,39.75,-97.03333
10075,Valid,56000,Fell,35.55,-77.53333
10078,Valid,1500,Fell,44.38333,2.81667
10079,Valid,2360,Fell,36.05,-94.16667
10080,Valid,380,Fell,36.88333,8.45
10081,Valid,3200,Fell,32.53333,-87.16667
10086,Valid,82,Fell,34.6,116.75
10088,Valid,220,Fell,36.1,-81.41667
10091,Valid,10200,Fell,43.18111,13.75333
10107,Valid,17600,Fell,47.81667,-96.85
10111,Valid,3640,Fell,30.83333,-97.76667
10119,Valid,152000,Fell,43.25,-93.66667
10120,Valid,26000,Fell,-33.35,146.85833
10123,Valid,6067,Fell,36.78333,-78.08333
10163,Valid,240,Fell,50.95,7.31667
10164,Valid,16300,Fell,33.01667,-83.96667
10166,Valid,,Fell,28.25,7
10177,Valid,650,Fell,34.48333,-87.83333
52412,Valid,23000,Fell,31.47556,113.56694
10836,Valid,11620,Fell,33.18333,130.2
10838,Valid,,Fell,55.33333,10.33333
10839,Valid,4000,Fell,25.95,80.81667
10840,Valid,2500,Fell,32.9,115.9
10846,Valid,132.7,Fell,44.3,0.4
10848,Valid,36.1,Fell,7.05,12.43333
10849,Valid,28,Fell,7.05,12.43333
10850,Valid,5000,Fell,51.68333,30.78333
10851,Valid,6400,Fell,27.35,68.53333
10854,Valid,,Fell,11.65,-2.18333
10860,Valid,380,Fell,27.88333,68.53333
10861,Valid,102,Fell,41.68333,-112.13333
44882,Valid,4162,Fell,12.85,11.03333
10866,Valid,,Fell,14.15083,-2.04167
10870,Valid,725,Fell,12.91667,11.91667
10914,Valid,14290,Fell,35.53333,136.88333
10917,Valid,18000,Fell,37.31667,13.56667
10919,Valid,480,Fell,9.6,9.91667
10923,Valid,670,Fell,52.2,6.86667
10924,Valid,1303,Fell,-7.25,107.7
10926,Valid,152000,Fell,57.35,37.61667
10930,Valid,767,Fell,52.45972,-0.3
10936,Valid,1750,Fell,50.66667,16.76667
10948,Valid,1600,Fell,24.23333,89.05
10949,Valid,3618,Fell,48.28333,38.08333
10956,Valid,9000,Fell,42.9,2.25
11196,Valid,45.5,Fell,60.66667,11
50911,Valid,215,Fell,43.2,-79.61667
11206,Valid,3500,Fell,43.66667,45.38333
11207,Valid,10500,Fell,49.26667,18.71667
11208,Valid,8000,Fell,46.35,30.58333
11426,Valid,1000,Fell,51.93333,15.5
11429,Valid,690,Fell,52.86667,16.63333
11432,Valid,22000,Fell,-33,-58.61667
11435,Valid,2910,Fell,39.80417,122.76389
11436,Valid,,Fell,24.1,105
11437,Valid,1900,Fell,37.1,118.4
11439,Valid,39000,Fell,38.73333,-6.01667
11440,Valid,1915,Fell,43.76667,20.23333
11442,Valid,288,Fell,13.5,-0.68333
11443,Valid,968,Fell,9.91667,13.98333
11448,Valid,2449,Fell,22.98333,76.05
11449,Valid,100000,Fell,11.49167,11.65833
11450,Valid,5700,Fell,42.9,24.7
11464,Valid,28,Fell,13.78333,78.56667
11465,Valid,34650,Fell,9.36667,42.41667
11466,Valid,1000,Fell,51.91667,8.38333
11467,Valid,1320,Fell,35,127.5
11468,Valid,0.2,Fell,35.65,139.33333
11472,Valid,9000,Fell,50.31667,3.73333
11479,Valid,1456,Fell,57.81667,16.23333
